iter	Logloss
183	0.2506568326
184	0.2505463856
185	0.2503858264
186	0.250101287
187	0.2499330077
188	0.2498934216
189	0.2487139581
190	0.2485969187
191	0.2473182079
192	0.2472767023
193	0.2462657501
194	0.2461579206
195	0.2460756324
196	0.246075582
197	0.2459018956
198	0.2457964476
199	0.2455728243
200	0.245437462
201	0.2452940275
202	0.2447588335
203	0.2447476361
204	0.2446549786
205	0.2442814401
206	0.2440948218
207	0.2435783468
208	0.2434215033
209	0.243158619
210	0.2431586121
211	0.2419031406
212	0.2418747525
213	0.2411017735
214	0.2410907741
215	0.240908282
216	0.240794186
217	0.2407875979
218	0.2405382131
219	0.2401297793
220	0.2397342366
221	0.2395780717
222	0.2392994178
223	0.2391344139
224	0.2390818141
225	0.2389668771
226	0.2389236834
227	0.2385485942
228	0.2380431026
229	0.2379691744
230	0.2377897407
231	0.2374840284
232	0.236695021
233	0.2360910458
234	0.2358094126
235	0.2357980844
236	0.2343633472
237	0.2341844206
238	0.2339261844
239	0.2334476164
240	0.2329990335
241	0.2329947544
242	0.2327498031
243	0.2324393813
244	0.2318249494
245	0.2316673416
246	0.2309224247
247	0.2308403185
248	0.2308224742
249	0.2307902723
250	0.2304369249
251	0.2302867283
252	0.229933964
253	0.2299313463
254	0.2297457449
255	0.2296113597
256	0.2296112244
257	0.2294128762
258	0.2292891144
259	0.2289914774
260	0.228833232
261	0.2287634493
262	0.2282244472
263	0.2281103239
264	0.2279304336
265	0.2274785181
266	0.2271166148
267	0.2271126651
268	0.2270522936
269	0.2269036586
270	0.2268212666
271	0.2268073827
272	0.2266145401
273	0.2265745134
274	0.2264708141
275	0.2264302223
276	0.2263312493
277	0.2258799666
278	0.2258722274
279	0.225871323
280	0.2257488323
281	0.2256744028
282	0.2252172775
283	0.2251510971
284	0.2250977438
285	0.2249844505
286	0.2249565974
287	0.2248567794
288	0.2248369259
289	0.2247552732
290	0.2246038449
291	0.2245431775
292	0.2244186494
293	0.2244087499
294	0.2242449967
295	0.2241878611
296	0.2241357127
297	0.2241216118
298	0.2240546543
299	0.2240426679
300	0.2239561779
301	0.2238754552
302	0.2238594924
303	0.2237959959
304	0.2237015806
305	0.2234504169
306	0.2234394044
307	0.2232164177
308	0.2230668305
309	0.2225647367
310	0.2224282826
311	0.2223338521
312	0.2219290511
313	0.2218392505
314	0.2218344613
315	0.221679581
316	0.220768519
317	0.2206557336
318	0.2206273173
319	0.2205502525
320	0.2204215964
321	0.2204147903
322	0.2203627345
323	0.2202807458
324	0.2202806405
325	0.2202534672
326	0.2202235528
327	0.2192718647
328	0.2192576096
329	0.2192443463
330	0.2192053469
331	0.2191227291
332	0.2190856825
333	0.2190230586
334	0.218937685
335	0.2189145794
336	0.2188289934
337	0.2187317147
338	0.2187268883
339	0.2186495728
340	0.2184051025
341	0.2183718382
342	0.2181759169
343	0.2181444637
344	0.2181307497
345	0.2180185372
346	0.2179626454
347	0.2178966486
348	0.2177926603
349	0.2177264959
350	0.2171862611
351	0.2171347917
352	0.2170929271
353	0.2170437244
354	0.2170056259
355	0.2166421144
356	0.2166373382
357	0.216633406
358	0.2166161008
359	0.216579667
360	0.2161450018
361	0.2160798512
362	0.215688194
363	0.21565039
364	0.215639541
365	0.2156395395
366	0.2150137368
367	0.2147424795
368	0.2146624139
369	0.214657544
370	0.2143651387
371	0.214341917
372	0.2142450991
373	0.2142426366
374	0.2142007617
375	0.2141844204
376	0.2139811265
377	0.213975698
378	0.213954733
379	0.213759415
380	0.2136289094
381	0.213605055
382	0.2135622195
383	0.21348667
384	0.2134826364
385	0.2134740381
386	0.2134586022
387	0.2134584706
388	0.213437908
389	0.2134223312
390	0.2133556671
391	0.2133442112
392	0.2132528382
393	0.2132528313
394	0.2132113783
395	0.2132113776
396	0.2131558721
397	0.2130773238
398	0.2130487285
399	0.2129538686
400	0.2128879537
401	0.2128537875
402	0.2127911274
403	0.2127008267
404	0.2126581124
405	0.2125140283
406	0.2125140196
407	0.2121032145
408	0.2120264466
409	0.211959641
410	0.2118256342
411	0.2118127519
412	0.2113418868
413	0.2112386443
414	0.2110948111
415	0.210558759
416	0.2104838031
417	0.2103994215
418	0.2103514678
419	0.2100335951
420	0.209216676
421	0.2091608321
422	0.2091548747
423	0.2091224566
424	0.2087882409
425	0.2087815744
426	0.2084623975
427	0.2084279092
428	0.2080580936
429	0.2080349668
430	0.2079504459
431	0.2078013899
432	0.2077595607
433	0.2074871562
434	0.2074824659
435	0.2074675758
436	0.2071472407
437	0.2070869364
438	0.2070691977
439	0.2068723855
440	0.2068581983
441	0.2067803471
442	0.206687688
443	0.2066006137
444	0.2065962546
445	0.2062205487
446	0.2062159634
447	0.2062052517
448	0.2061969856
449	0.2061369241
450	0.2061090689
451	0.2060489471
452	0.2058174775
453	0.2057739026
454	0.2057336675
455	0.2057307451
456	0.2056687752
457	0.2056112433
458	0.2055832885
459	0.2055806956
460	0.205470056
461	0.2054634351
462	0.2053635834
463	0.2052829594
464	0.2052237121
465	0.2052236794
466	0.2052202373
467	0.205159327
468	0.2050295179
469	0.2049981825
470	0.2049247508
471	0.204894354
472	0.2048856899
473	0.204844887
474	0.2048285115
475	0.2048007829
476	0.2047690298
477	0.2047596463
478	0.2047534976
479	0.204715233
480	0.2046136919
481	0.2046124161
482	0.2044842738
483	0.2043787703
484	0.2043161725
485	0.204250301
486	0.2040196726
487	0.2037598967
488	0.2036895079
489	0.2036487731
490	0.2035737681
491	0.2035253495
492	0.2032593473
493	0.2030008854
494	0.2025534052
495	0.2025362384
496	0.2025288912
497	0.2023727561
498	0.2023406539
499	0.2022119428
500	0.2020784259
501	0.201964511
502	0.2019402667
503	0.2018375239
504	0.2018242779
505	0.2018138073
506	0.201784069
507	0.201772039
508	0.2017464415
509	0.2017438281
510	0.2017020813
511	0.2015495435
512	0.2015461426
513	0.2015411279
514	0.2015034407
515	0.2014417365
516	0.2014414756
517	0.2013598683
518	0.2013526558
519	0.201259783
520	0.2011828751
521	0.200935132
522	0.2009309858
523	0.2009230723
524	0.2009229084
525	0.2008678901
526	0.20086789
527	0.2008536712
528	0.2008202159
529	0.2008197799
530	0.2008126547
531	0.2008054826
532	0.2008030735
533	0.2006016802
534	0.2004383412
535	0.2003971108
536	0.2003758903
537	0.2002645403
538	0.20023068
539	0.2001663296
540	0.2001576924
541	0.2001139796
542	0.2001139409
543	0.2001137848
544	0.2001137753
545	0.2000795073
546	0.2000607521
547	0.2000294572
548	0.2000229525
549	0.1999789295
550	0.1999312187
551	0.1998810928
552	0.1998385888
553	0.19980068
554	0.199778282
555	0.1997782595
556	0.1997696104
557	0.1997358852
558	0.1997311908
559	0.1997217104
560	0.1995104724
561	0.199507849
562	0.1994817887
563	0.1993830774
564	0.199381169
565	0.1993001633
566	0.199267086
567	0.1992539369
568	0.1992539368
569	0.1992032472
570	0.1989575179
571	0.1989284159
572	0.1988880163
573	0.198872513
574	0.1988598844
575	0.1988202702
576	0.1988202702
577	0.1988202466
578	0.1988201992
579	0.1986730177
580	0.1986647926
581	0.1986303252
582	0.1986303252
583	0.1986029242
584	0.1985985726
585	0.1985246615
586	0.1985099819
587	0.1985099818
588	0.1984958578
589	0.1984585033
590	0.1984540583
591	0.1984399325
592	0.1981346638
593	0.1981225496
594	0.1980311799
595	0.1978684432
596	0.1978163202
597	0.1976764043
598	0.1976384955
599	0.1975939394
600	0.1974676565
601	0.197395306
602	0.1973901095
603	0.1973831853
604	0.1973803912
605	0.1973591525
606	0.197356493
607	0.1973563615
608	0.1973443741
609	0.1972943599
610	0.1972685737
611	0.1972621978
612	0.1972553893
613	0.1972495552
614	0.1972004488
615	0.1971977625
616	0.1971154664
617	0.1970323726
618	0.1970140363
619	0.1969736126
620	0.1969578191
621	0.1968704523
622	0.1967957866
623	0.1967957856
624	0.1967481551
625	0.1966692195
626	0.1966121183
627	0.196391076
628	0.1963661817
629	0.1963457041
630	0.19625538
631	0.1962281967
632	0.1962280572
633	0.1959698168
634	0.1958820264
635	0.195721833
636	0.1956570778
637	0.195653529
638	0.195629627
639	0.1955402038
640	0.1955189638
641	0.195393562
642	0.19533383
643	0.1953261863
644	0.195056766
645	0.1950367708
646	0.1947300071
647	0.1947040218
648	0.1947021905
649	0.1946989953
650	0.1946989826
651	0.1946625248
652	0.1946526306
653	0.194585137
654	0.1945739716
655	0.1944031481
656	0.1944021044
657	0.1944019533
658	0.1943689508
659	0.1943225432
660	0.1942075752
661	0.194131612
662	0.1940989853
663	0.1939805555
664	0.1939645248
665	0.193934526
666	0.1939252984
667	0.1939094416
668	0.1938541094
669	0.1938160374
670	0.1937771627
671	0.1937728727
672	0.193464659
673	0.1932074288
674	0.1930436583
675	0.1930101944
676	0.1928689517
677	0.1926920108
678	0.1925818487
679	0.1924305241
680	0.1924280637
681	0.1924268761
682	0.1921664187
683	0.192118008
684	0.1921002763
685	0.1920259641
686	0.1920244049
687	0.1920015735
688	0.1919318428
689	0.1918760909
690	0.1917245325
691	0.1917138827
692	0.191642548
693	0.1916301717
694	0.1915278198
695	0.1914754697
696	0.1914650083
697	0.1914449733
698	0.1914280374
699	0.1913394096
