iter	Logloss
0	0.5322055941
1	0.4903701693
2	0.4486044532
3	0.4315461117
4	0.4223790402
5	0.4174820384
6	0.4054438838
7	0.4046121217
8	0.4039869692
9	0.3992719531
10	0.3985664396
11	0.39063503
12	0.3896628398
13	0.3886581751
14	0.3885356999
15	0.3878578814
16	0.387842381
17	0.3856328441
18	0.3856327694
19	0.3824572856
20	0.3784453617
21	0.377483526
22	0.3773920451
23	0.3769838977
24	0.3759107676
25	0.3759107644
26	0.3723562229
27	0.367954317
28	0.3674602374
29	0.3636930361
30	0.363147167
31	0.3631471372
32	0.3611498334
33	0.3594512145
34	0.3587023515
35	0.3585893155
36	0.3536637005
37	0.3509297292
38	0.348793254
39	0.3477865804
40	0.3473301719
41	0.3473301443
42	0.3454357399
43	0.3447614534
44	0.3438997699
45	0.3410356712
46	0.3389786318
47	0.3389371273
48	0.3389182133
49	0.3382207868
50	0.33821848
51	0.3378081168
52	0.3374301036
53	0.3370094276
54	0.3370093998
55	0.3362068811
56	0.3340564126
57	0.3339489427
58	0.3337968435
59	0.3337912384
60	0.3326309859
61	0.3324833816
62	0.3311910638
63	0.3311497349
64	0.3308678743
65	0.330840936
66	0.3303145991
67	0.3302905692
68	0.3301495786
69	0.3300560786
70	0.3294620419
71	0.3290634719
72	0.3289754932
73	0.3289634546
74	0.3271105758
75	0.3270320392
76	0.3263416493
77	0.3243955879
78	0.322196277
79	0.3211995554
80	0.3186863276
81	0.3176213787
82	0.3155073728
83	0.3144140331
84	0.3122817959
85	0.3120715637
86	0.3104891103
87	0.31033253
88	0.3084208546
89	0.3065907789
90	0.3063557821
91	0.3055810745
92	0.305534622
93	0.3053978138
94	0.3053704868
95	0.3046303616
96	0.3044028542
97	0.3025287754
98	0.3022713944
99	0.3014050176
100	0.3011451612
101	0.3008968829
102	0.3001064279
103	0.299566041
104	0.2987981622
105	0.2977385609
106	0.2973142437
107	0.2961461631
108	0.2954988693
109	0.2948944912
110	0.2947970517
111	0.2941222408
112	0.2930075202
113	0.2922954298
114	0.2914286009
115	0.2913278627
116	0.2889187301
117	0.2883634626
118	0.2882457364
119	0.2873974909
120	0.2856935862
121	0.285410409
122	0.2851370658
123	0.2849189982
124	0.2849120963
125	0.2827584047
126	0.2804933565
127	0.2787824842
128	0.2778319037
129	0.2776711204
130	0.2765839984
131	0.2748992036
132	0.2746852433
133	0.2736432634
134	0.273187491
135	0.2722636536
136	0.2718913423
137	0.2715797064
138	0.2713059627
139	0.2710462709
140	0.270502095
141	0.270084165
142	0.2700841637
143	0.269772557
144	0.2697725538
145	0.2694389149
146	0.2692133358
147	0.2690026546
148	0.2687445663
149	0.2686152081
150	0.2685896522
151	0.2682536989
152	0.2676411901
153	0.2674888332
154	0.2668010246
155	0.2657639554
156	0.2656322493
157	0.2636996628
158	0.2629076902
159	0.2615365843
160	0.2613342866
161	0.2603408339
162	0.2598294892
163	0.2595437246
164	0.2575386426
165	0.2561378577
166	0.2560247344
167	0.2556385134
168	0.2541380247
169	0.2539748123
170	0.2531079804
171	0.2525524455
172	0.2520025588
173	0.2519994825
174	0.2519509941
175	0.2513495278
176	0.2512168056
177	0.2510436563
178	0.2510435584
179	0.250869602
180	0.2508450237
181	0.2506822484
182	0.2506569367
