iter	Passed	Remaining
415	3248	2217
416	3256	2209
417	3263	2201
418	3272	2194
419	3280	2187
420	3289	2179
421	3296	2171
422	3306	2165
423	3313	2156
424	3321	2149
425	3328	2141
426	3337	2133
427	3344	2125
428	3353	2118
429	3360	2110
430	3377	2108
431	3386	2100
432	3393	2092
433	3401	2084
434	3408	2076
435	3416	2068
436	3424	2060
437	3432	2053
438	3439	2045
439	3448	2038
440	3458	2031
441	3467	2023
442	3474	2015
443	3484	2008
444	3491	2000
445	3501	1994
446	3510	1986
447	3521	1980
448	3528	1972
449	3536	1964
450	3544	1956
451	3554	1950
452	3562	1942
453	3570	1934
454	3578	1926
455	3586	1919
456	3594	1911
457	3603	1903
458	3611	1896
459	3619	1888
460	3627	1880
461	3637	1873
462	3645	1866
463	3654	1858
464	3662	1851
465	3670	1843
466	3679	1835
467	3687	1827
468	3696	1820
469	3703	1812
470	3712	1804
471	3720	1797
472	3729	1789
473	3736	1781
474	3746	1774
475	3753	1766
476	3762	1758
477	3770	1751
478	3778	1743
479	3786	1735
480	3793	1727
481	3801	1719
482	3808	1711
483	3817	1703
484	3825	1695
485	3834	1688
486	3841	1680
487	3849	1672
488	3857	1664
489	3865	1656
490	3872	1648
491	3880	1640
492	3888	1632
493	3896	1624
494	3903	1616
495	3911	1608
496	3918	1600
497	3927	1592
498	3934	1584
499	3941	1576
500	3949	1568
501	3956	1560
502	3964	1552
503	3971	1544
504	3981	1537
505	3988	1529
506	3997	1521
507	4004	1513
508	4012	1505
509	4019	1497
510	4027	1489
511	4034	1481
512	4042	1473
513	4050	1465
514	4056	1457
515	4064	1449
516	4071	1441
517	4080	1433
518	4087	1425
519	4096	1418
520	4112	1412
521	4120	1404
522	4128	1397
523	4135	1388
524	4142	1380
525	4149	1372
526	4156	1364
527	4163	1356
528	4170	1348
529	4178	1340
530	4185	1331
531	4192	1324
532	4199	1315
533	4207	1307
534	4214	1299
535	4221	1291
536	4229	1283
537	4236	1275
538	4244	1267
539	4251	1259
540	4260	1252
541	4268	1244
542	4275	1236
543	4282	1228
544	4290	1220
545	4297	1212
546	4305	1204
547	4313	1196
548	4321	1188
549	4328	1180
550	4335	1172
551	4344	1164
552	4351	1156
553	4359	1148
554	4367	1140
555	4374	1133
556	4381	1124
557	4390	1117
558	4397	1109
559	4405	1101
560	4413	1093
561	4422	1085
562	4430	1078
563	4439	1070
564	4446	1062
565	4456	1054
566	4463	1046
567	4471	1039
568	4478	1031
569	4486	1023
570	4494	1015
571	4503	1007
572	4511	999
573	4519	992
574	4527	984
575	4536	976
576	4544	968
577	4553	961
578	4559	952
579	4567	945
580	4574	937
581	4582	929
582	4592	921
583	4599	913
584	4607	905
585	4614	897
586	4623	890
587	4630	882
588	4639	874
589	4647	866
590	4656	858
591	4665	851
592	4674	843
593	4684	835
594	4693	828
595	4701	820
596	4709	812
597	4717	804
598	4725	796
599	4734	789
600	4742	781
601	4750	773
602	4758	765
603	4767	757
604	4774	749
605	4783	742
606	4791	734
607	4800	726
608	4809	718
609	4818	710
610	4826	703
611	4835	695
612	4843	687
613	4851	679
614	4859	671
615	4866	663
616	4874	655
617	4882	647
618	4890	639
619	4899	632
620	4906	624
621	4914	616
622	4922	608
623	4929	600
624	4938	592
625	4945	584
626	4953	576
627	4961	568
628	4971	561
629	4978	553
630	4987	545
631	4994	537
632	5002	529
633	5010	521
634	5019	513
635	5026	505
636	5035	497
637	5042	490
638	5051	482
639	5058	474
640	5067	466
